,height,weight,day,lastDayEmptied,trashDayTarget
2065,36,43,tues,tues,thur
2066,39,44,tues,tues,thur
2067,43,46,tues,tues,thur
2068,46,49,wed,tues,thur
2069,50,52,wed,tues,thur
2070,54,54,wed,tues,thur
2071,58,57,wed,tues,thur
2072,62,61,wed,tues,thur
2073,65,64,wed,tues,thur
2074,67,65,wed,tues,thur
2075,71,69,thur,tues,thur
2076,74,73,thur,tues,thur
2077,77,75,thur,tues,thur
2078,81,78,thur,tues,thur
2079,0,0,thur,thur,fri
2080,4,2,thur,thur,fri
2081,7,3,thur,thur,fri
2082,8,6,thur,thur,fri
2083,11,9,thur,thur,fri
2084,14,13,thur,thur,fri
2085,18,14,thur,thur,fri
2086,21,17,thur,thur,fri
2087,25,18,thur,thur,fri
2088,29,21,thur,thur,fri
2089,33,23,thur,thur,fri
2090,35,26,thur,thur,fri
2091,38,27,thur,thur,fri
2092,41,28,thur,thur,fri
2093,44,32,thur,thur,fri
2094,47,36,thur,thur,fri
2095,50,39,thur,thur,fri
2096,53,43,thur,thur,fri
2097,57,45,thur,thur,fri
2098,58,49,thur,thur,fri
2099,62,50,thur,thur,fri
2100,66,51,thur,thur,fri
2101,70,55,thur,thur,fri
2102,74,56,thur,thur,fri
2103,75,58,thur,thur,fri
2104,77,59,fri,thur,fri
2105,80,63,fri,thur,fri
2106,0,0,fri,fri,mon
2107,3,3,fri,fri,mon
2108,6,4,sun,fri,mon
2109,10,8,sun,fri,mon
2110,14,9,sun,fri,mon
2111,18,12,sun,fri,mon
2112,21,14,sun,fri,mon
2113,25,15,sun,fri,mon
2114,29,19,sun,fri,mon
2115,31,21,sun,fri,mon
2116,33,24,sun,fri,mon
2117,37,28,sun,fri,mon
2118,39,31,sun,fri,mon
2119,42,32,sun,fri,mon
2120,45,35,sun,fri,mon
2121,47,36,sun,fri,mon
2122,51,37,sun,fri,mon
2123,54,40,sun,fri,mon
2124,56,42,sun,fri,mon
2125,58,43,sun,fri,mon
2126,59,47,sun,fri,mon
2127,62,48,sun,fri,mon
2128,63,50,sun,fri,mon
2129,66,54,sun,fri,mon
2130,70,58,sun,fri,mon
2131,74,62,sun,fri,mon
2132,76,63,mon,fri,mon
2133,78,64,mon,fri,mon
2134,79,68,mon,fri,mon
2135,81,72,mon,fri,mon
2136,0,0,mon,mon,wed
2137,3,2,mon,mon,wed
2138,6,6,mon,mon,wed
2139,8,7,mon,mon,wed
2140,10,8,mon,mon,wed
2141,12,10,mon,mon,wed
2142,14,12,mon,mon,wed
2143,18,15,mon,mon,wed
2144,22,19,mon,mon,wed
2145,24,20,mon,mon,wed
2146,28,22,mon,mon,wed
2147,31,25,mon,mon,wed
2148,32,29,mon,mon,wed
2149,33,30,mon,mon,wed
2150,37,31,mon,mon,wed
2151,40,34,mon,mon,wed
2152,43,36,mon,mon,wed
2153,45,37,mon,mon,wed
2154,49,38,mon,mon,wed
2155,52,39,mon,mon,wed
2156,56,42,mon,mon,wed
2157,60,44,mon,mon,wed
2158,63,46,mon,mon,wed
2159,64,48,mon,mon,wed
2160,68,50,mon,mon,wed
2161,69,54,tues,mon,wed
2162,71,57,tues,mon,wed
2163,74,59,tues,mon,wed
2164,77,60,wed,mon,wed
2165,78,61,wed,mon,wed
2166,80,64,wed,mon,wed
2167,0,0,wed,wed,sun
2168,3,2,wed,wed,sun
2169,6,4,wed,wed,sun
2170,10,8,thur,wed,sun
2171,11,11,thur,wed,sun
2172,12,12,thur,wed,sun
2173,15,16,thur,wed,sun
2174,18,17,thur,wed,sun
2175,22,20,thur,wed,sun
2176,24,23,fri,wed,sun
2177,25,24,fri,wed,sun
2178,29,28,fri,wed,sun
2179,32,31,fri,wed,sun
2180,34,33,fri,wed,sun
2181,35,35,fri,wed,sun
2182,37,39,fri,wed,sun
2183,40,42,fri,wed,sun
2184,43,43,fri,wed,sun
2185,46,44,fri,wed,sun
2186,47,45,fri,wed,sun
2187,48,48,fri,wed,sun
2188,50,52,fri,wed,sun
2189,51,53,sun,wed,sun
2190,52,56,sun,wed,sun
2191,55,58,sun,wed,sun
2192,58,60,sun,wed,sun
2193,59,61,sun,wed,sun
2194,61,65,sun,wed,sun
2195,62,68,sun,wed,sun
2196,65,69,sun,wed,sun
2197,68,71,sun,wed,sun
2198,72,75,sun,wed,sun
2199,74,78,sun,wed,sun
2200,75,82,sun,wed,sun
2201,0,0,sun,sun,mon
2202,1,4,sun,sun,mon
2203,5,8,sun,sun,mon
2204,8,10,sun,sun,mon
2205,10,12,sun,sun,mon
2206,11,15,sun,sun,mon
2207,12,19,sun,sun,mon
2208,13,21,sun,sun,mon
2209,14,22,sun,sun,mon
2210,15,23,sun,sun,mon
2211,16,26,sun,sun,mon
2212,17,28,sun,sun,mon
2213,19,31,sun,sun,mon
2214,22,32,sun,sun,mon
2215,26,34,sun,sun,mon
2216,29,37,sun,sun,mon
2217,32,41,sun,sun,mon
2218,34,44,sun,sun,mon
2219,37,48,mon,sun,mon
2220,41,50,mon,sun,mon
2221,44,51,mon,sun,mon
2222,45,55,mon,sun,mon
2223,46,58,mon,sun,mon
2224,47,59,mon,sun,mon
2225,50,63,mon,sun,mon
2226,53,67,mon,sun,mon
2227,54,70,mon,sun,mon
2228,57,72,mon,sun,mon
2229,59,74,mon,sun,mon
2230,62,75,mon,sun,mon
2231,66,78,mon,sun,mon
2232,67,79,mon,sun,mon
2233,68,80,mon,sun,mon
2234,0,0,mon,mon,wed
2235,3,1,mon,mon,wed
2236,7,5,mon,mon,wed
2237,9,6,mon,mon,wed
2238,11,8,tues,mon,wed
2239,12,12,tues,mon,wed
2240,16,13,tues,mon,wed
2241,20,16,wed,mon,wed
2242,24,18,wed,mon,wed
2243,26,20,wed,mon,wed
2244,30,22,wed,mon,wed
2245,31,25,wed,mon,wed
2246,34,28,wed,mon,wed
2247,36,29,wed,mon,wed
2248,39,32,wed,mon,wed
2249,40,36,wed,mon,wed
2250,42,37,wed,mon,wed
2251,44,38,wed,mon,wed
2252,46,39,wed,mon,wed
2253,49,41,wed,mon,wed
2254,53,42,wed,mon,wed
2255,55,45,wed,mon,wed
2256,58,47,wed,mon,wed
2257,60,48,wed,mon,wed
2258,63,51,wed,mon,wed
2259,64,53,wed,mon,wed
2260,66,56,wed,mon,wed
2261,70,58,wed,mon,wed
2262,71,61,wed,mon,wed
2263,75,62,wed,mon,wed
2264,77,65,wed,mon,wed
2265,79,66,wed,mon,wed
2266,81,68,wed,mon,wed
2267,0,0,wed,wed,fri
2268,3,3,wed,wed,fri
2269,4,6,wed,wed,fri
2270,7,9,wed,wed,fri
2271,9,13,thur,wed,fri
2272,13,16,thur,wed,fri
2273,14,19,thur,wed,fri
2274,18,22,thur,wed,fri
2275,20,26,thur,wed,fri
2276,23,28,thur,wed,fri
2277,26,32,thur,wed,fri
2278,29,34,thur,wed,fri
2279,30,37,thur,wed,fri
2280,34,39,thur,wed,fri
2281,36,40,fri,wed,fri
2282,38,43,fri,wed,fri
2283,41,47,fri,wed,fri
2284,43,50,fri,wed,fri
2285,44,53,fri,wed,fri
2286,46,57,fri,wed,fri
2287,48,61,fri,wed,fri
2288,51,63,fri,wed,fri
2289,52,67,fri,wed,fri
2290,55,71,fri,wed,fri
2291,56,75,fri,wed,fri
2292,60,76,fri,wed,fri
2293,64,78,fri,wed,fri
2294,68,80,fri,wed,fri
2295,0,0,fri,fri,tues
2296,3,1,fri,fri,tues
2297,4,5,fri,fri,tues
2298,5,7,fri,fri,tues
2299,6,9,fri,fri,tues
2300,10,10,fri,fri,tues
2301,11,14,fri,fri,tues
2302,15,18,fri,fri,tues
2303,19,19,fri,fri,tues
2304,20,23,fri,fri,tues
2305,23,27,fri,fri,tues
2306,24,28,fri,fri,tues
2307,28,30,sun,fri,tues
2308,32,32,sun,fri,tues
2309,34,34,sun,fri,tues
2310,35,35,sun,fri,tues
2311,37,36,sun,fri,tues
2312,41,39,sun,fri,tues
2313,42,41,mon,fri,tues
2314,46,44,mon,fri,tues
2315,48,47,mon,fri,tues
2316,51,51,tues,fri,tues
2317,52,54,tues,fri,tues
2318,55,57,tues,fri,tues
2319,59,60,tues,fri,tues
2320,61,64,tues,fri,tues
2321,65,67,tues,fri,tues
2322,66,71,tues,fri,tues
2323,70,74,tues,fri,tues
2324,71,75,tues,fri,tues
2325,73,78,tues,fri,tues
2326,76,80,tues,fri,tues
2327,0,0,tues,tues,thur
2328,4,4,tues,tues,thur
2329,5,8,tues,tues,thur
2330,6,10,tues,tues,thur
2331,10,11,tues,tues,thur
2332,12,13,tues,tues,thur
2333,13,17,tues,tues,thur
2334,16,19,tues,tues,thur
2335,20,20,tues,tues,thur
2336,23,23,tues,tues,thur
2337,25,26,tues,tues,thur
2338,27,28,tues,tues,thur
2339,30,29,tues,tues,thur
2340,31,33,tues,tues,thur
2341,35,34,tues,tues,thur
2342,36,38,wed,tues,thur
2343,38,39,wed,tues,thur
2344,39,41,wed,tues,thur
2345,40,45,wed,tues,thur
2346,42,49,wed,tues,thur
2347,45,50,wed,tues,thur
2348,48,54,wed,tues,thur
2349,52,58,wed,tues,thur
2350,56,60,wed,tues,thur
2351,60,63,wed,tues,thur
2352,61,66,thur,tues,thur
2353,64,69,thur,tues,thur
2354,67,71,thur,tues,thur
2355,71,75,thur,tues,thur
2356,73,76,thur,tues,thur
2357,74,77,thur,tues,thur
2358,75,79,thur,tues,thur
2359,79,80,thur,tues,thur
2360,0,0,thur,thur,fri
2361,4,4,thur,thur,fri
2362,5,8,thur,thur,fri
2363,6,12,thur,thur,fri
2364,10,14,thur,thur,fri
2365,13,17,thur,thur,fri
2366,16,18,thur,thur,fri
2367,19,21,thur,thur,fri
2368,23,23,thur,thur,fri
2369,26,25,fri,thur,fri
2370,28,27,fri,thur,fri
2371,32,31,fri,thur,fri
2372,35,32,fri,thur,fri
2373,39,36,fri,thur,fri
2374,41,39,fri,thur,fri
2375,44,43,fri,thur,fri
2376,47,45,fri,thur,fri
2377,48,47,fri,thur,fri
2378,50,50,fri,thur,fri
2379,51,51,fri,thur,fri
2380,53,54,fri,thur,fri
2381,56,57,fri,thur,fri
2382,57,59,fri,thur,fri
2383,61,60,fri,thur,fri
2384,63,61,fri,thur,fri
2385,67,63,fri,thur,fri
2386,70,67,fri,thur,fri
2387,74,69,fri,thur,fri
2388,76,71,fri,thur,fri
2389,80,74,fri,thur,fri
2390,0,0,fri,fri,mon
2391,4,4,fri,fri,mon
2392,6,8,sun,fri,mon
2393,7,12,sun,fri,mon
2394,9,15,sun,fri,mon
2395,11,16,sun,fri,mon
2396,15,19,sun,fri,mon
2397,16,20,sun,fri,mon
2398,18,21,sun,fri,mon
2399,19,24,sun,fri,mon
2400,22,28,sun,fri,mon
2401,26,30,sun,fri,mon
2402,27,33,sun,fri,mon
2403,28,37,sun,fri,mon
2404,30,40,sun,fri,mon
2405,32,41,sun,fri,mon
2406,36,45,sun,fri,mon
2407,39,47,sun,fri,mon
2408,41,49,sun,fri,mon
2409,45,50,sun,fri,mon
2410,46,51,mon,fri,mon
2411,49,53,mon,fri,mon
2412,51,57,mon,fri,mon
2413,54,60,mon,fri,mon
2414,57,61,mon,fri,mon
2415,60,62,mon,fri,mon
2416,64,64,mon,fri,mon
2417,65,68,mon,fri,mon
2418,67,70,mon,fri,mon
2419,68,71,mon,fri,mon
2420,70,74,mon,fri,mon
2421,73,77,mon,fri,mon
2422,75,81,mon,fri,mon
2423,0,0,mon,mon,wed
2424,4,1,mon,mon,wed
2425,8,4,mon,mon,wed
2426,11,8,mon,mon,wed
2427,15,11,mon,mon,wed
2428,16,15,mon,mon,wed
2429,18,16,mon,mon,wed
2430,20,20,mon,mon,wed
2431,22,21,mon,mon,wed
2432,25,22,tues,mon,wed
2433,29,24,tues,mon,wed
2434,31,25,tues,mon,wed
2435,32,26,tues,mon,wed
2436,33,28,tues,mon,wed
2437,37,31,tues,mon,wed
2438,41,33,tues,mon,wed
2439,44,34,tues,mon,wed
2440,45,35,tues,mon,wed
2441,46,39,tues,mon,wed
2442,48,43,tues,mon,wed
2443,49,47,tues,mon,wed
2444,52,50,tues,mon,wed
2445,55,51,tues,mon,wed
2446,56,54,tues,mon,wed
2447,59,55,tues,mon,wed
2448,63,57,tues,mon,wed
2449,65,61,tues,mon,wed
2450,67,65,tues,mon,wed
2451,68,68,tues,mon,wed
2452,71,69,tues,mon,wed
2453,74,73,tues,mon,wed
2454,75,74,tues,mon,wed
2455,79,75,wed,mon,wed
2456,80,79,wed,mon,wed
2457,0,0,wed,wed,thur
2458,3,2,wed,wed,thur
2459,7,3,wed,wed,thur
2460,9,7,wed,wed,thur
2461,10,10,wed,wed,thur
2462,12,14,wed,wed,thur
2463,16,15,wed,wed,thur
2464,17,18,wed,wed,thur
2465,18,20,wed,wed,thur
2466,21,24,wed,wed,thur
2467,24,28,wed,wed,thur
2468,28,32,wed,wed,thur
2469,32,34,wed,wed,thur
2470,34,38,wed,wed,thur
2471,38,42,wed,wed,thur
2472,40,44,wed,wed,thur
2473,41,48,thur,wed,thur
2474,44,50,thur,wed,thur
2475,45,54,thur,wed,thur
2476,46,56,thur,wed,thur
2477,48,58,thur,wed,thur
2478,51,60,thur,wed,thur
2479,55,62,thur,wed,thur
2480,56,66,thur,wed,thur
2481,58,70,thur,wed,thur
2482,61,72,thur,wed,thur
2483,63,73,thur,wed,thur
2484,65,74,thur,wed,thur
2485,68,78,thur,wed,thur
2486,70,79,thur,wed,thur
2487,73,80,thur,wed,thur
2488,0,0,thur,thur,sun
2489,3,2,thur,thur,sun
2490,7,6,thur,thur,sun
2491,8,10,thur,thur,sun
2492,9,11,thur,thur,sun
2493,11,13,thur,thur,sun
2494,12,15,thur,thur,sun
2495,16,18,thur,thur,sun
2496,20,21,thur,thur,sun
2497,24,22,thur,thur,sun
2498,25,23,thur,thur,sun
2499,29,24,thur,thur,sun
2500,33,27,thur,thur,sun
2501,34,29,thur,thur,sun
2502,36,31,fri,thur,sun
2503,39,34,fri,thur,sun
2504,41,36,fri,thur,sun
2505,44,40,fri,thur,sun
2506,45,44,fri,thur,sun
2507,48,48,fri,thur,sun
2508,51,51,fri,thur,sun
2509,52,52,fri,thur,sun
2510,55,54,fri,thur,sun
2511,56,58,fri,thur,sun
2512,57,59,fri,thur,sun
2513,58,60,fri,thur,sun
2514,60,61,fri,thur,sun
2515,63,63,fri,thur,sun
2516,65,64,fri,thur,sun
2517,69,67,fri,thur,sun
2518,70,70,fri,thur,sun
2519,72,72,fri,thur,sun
2520,73,74,fri,thur,sun
2521,76,76,fri,thur,sun
2522,79,79,fri,thur,sun
2523,83,81,fri,thur,sun
2524,0,0,sun,sun,wed
2525,4,2,sun,sun,wed
2526,5,3,sun,sun,wed
2527,7,5,sun,sun,wed
2528,9,6,sun,sun,wed
2529,10,9,sun,sun,wed
2530,12,12,mon,sun,wed
2531,14,16,mon,sun,wed
2532,17,19,mon,sun,wed
2533,18,20,mon,sun,wed
2534,19,23,mon,sun,wed
2535,23,27,mon,sun,wed
2536,24,31,mon,sun,wed
2537,25,33,mon,sun,wed
2538,27,34,mon,sun,wed
2539,30,37,mon,sun,wed
2540,32,39,mon,sun,wed
2541,33,42,mon,sun,wed
2542,36,43,mon,sun,wed
2543,38,46,mon,sun,wed
2544,42,50,mon,sun,wed
2545,46,53,mon,sun,wed
2546,50,57,mon,sun,wed
2547,52,61,mon,sun,wed
2548,53,63,tues,sun,wed
2549,57,65,tues,sun,wed
2550,61,67,tues,sun,wed
2551,65,71,tues,sun,wed
2552,66,75,wed,sun,wed
2553,70,76,wed,sun,wed
2554,72,78,wed,sun,wed
2555,76,81,wed,sun,wed
2556,0,0,wed,wed,thur
2557,4,1,wed,wed,thur
2558,8,3,wed,wed,thur
2559,10,6,wed,wed,thur
2560,11,7,wed,wed,thur
2561,15,10,wed,wed,thur
2562,16,14,wed,wed,thur
2563,18,15,wed,wed,thur
2564,19,18,wed,wed,thur
2565,20,19,wed,wed,thur
2566,21,21,wed,wed,thur
2567,23,23,wed,wed,thur
2568,24,27,wed,wed,thur
2569,25,31,wed,wed,thur
2570,27,32,wed,wed,thur
2571,30,33,wed,wed,thur
2572,32,36,wed,wed,thur
2573,34,37,wed,wed,thur
2574,35,41,wed,wed,thur
2575,39,43,wed,wed,thur
2576,41,47,thur,wed,thur
2577,45,51,thur,wed,thur
2578,46,52,thur,wed,thur
2579,47,53,thur,wed,thur
2580,51,57,thur,wed,thur
2581,55,60,thur,wed,thur
2582,57,63,thur,wed,thur
2583,60,66,thur,wed,thur
2584,64,67,thur,wed,thur
2585,65,69,thur,wed,thur
2586,67,73,thur,wed,thur
2587,71,75,thur,wed,thur
2588,72,76,thur,wed,thur
2589,76,80,thur,wed,thur
2590,0,0,thur,thur,sun
2591,1,4,thur,thur,sun
2592,2,7,thur,thur,sun
2593,3,11,thur,thur,sun
2594,4,15,thur,thur,sun
2595,7,17,thur,thur,sun
2596,9,21,thur,thur,sun
2597,11,22,fri,thur,sun
2598,14,26,fri,thur,sun
2599,16,29,fri,thur,sun
2600,19,32,fri,thur,sun
2601,20,33,fri,thur,sun
2602,21,37,fri,thur,sun
2603,22,40,fri,thur,sun
2604,25,41,fri,thur,sun
2605,27,44,fri,thur,sun
2606,30,47,fri,thur,sun
2607,34,49,fri,thur,sun
2608,35,53,fri,thur,sun
2609,36,55,fri,thur,sun
2610,37,56,fri,thur,sun
2611,38,58,fri,thur,sun
2612,39,62,fri,thur,sun
2613,43,64,fri,thur,sun
2614,46,66,fri,thur,sun
2615,50,69,fri,thur,sun
2616,51,73,fri,thur,sun
2617,55,74,fri,thur,sun
2618,58,78,sun,thur,sun
2619,60,81,sun,thur,sun
2620,0,0,sun,sun,mon
2621,4,2,sun,sun,mon
2622,5,4,sun,sun,mon
2623,9,5,sun,sun,mon
2624,11,9,sun,sun,mon
2625,15,11,sun,sun,mon
2626,16,12,sun,sun,mon
2627,19,15,sun,sun,mon
2628,22,19,sun,sun,mon
2629,26,20,sun,sun,mon
2630,28,23,sun,sun,mon
2631,32,27,sun,sun,mon
2632,35,30,sun,sun,mon
2633,38,32,sun,sun,mon
2634,41,33,sun,sun,mon
2635,45,37,sun,sun,mon
2636,49,38,sun,sun,mon
2637,50,40,sun,sun,mon
2638,51,41,sun,sun,mon
2639,52,44,sun,sun,mon
2640,53,46,mon,sun,mon
2641,56,48,mon,sun,mon
2642,58,50,mon,sun,mon
2643,60,51,mon,sun,mon
2644,64,53,mon,sun,mon
2645,66,57,mon,sun,mon
2646,67,58,mon,sun,mon
2647,69,62,mon,sun,mon
2648,73,63,mon,sun,mon
2649,75,65,mon,sun,mon
2650,77,66,mon,sun,mon
2651,80,68,mon,sun,mon
2652,0,0,mon,mon,wed
2653,1,3,mon,mon,wed
2654,3,4,mon,mon,wed
2655,6,7,mon,mon,wed
2656,10,8,mon,mon,wed
2657,12,12,mon,mon,wed
2658,14,16,mon,mon,wed
2659,15,20,mon,mon,wed
2660,16,21,mon,mon,wed
2661,18,23,mon,mon,wed
2662,19,26,mon,mon,wed
2663,20,29,mon,mon,wed
2664,22,31,tues,mon,wed
2665,24,32,tues,mon,wed
2666,25,36,tues,mon,wed
2667,28,40,tues,mon,wed
2668,31,44,tues,mon,wed
2669,33,45,tues,mon,wed
2670,35,48,tues,mon,wed
2671,39,52,tues,mon,wed
2672,43,54,tues,mon,wed
2673,46,55,tues,mon,wed
2674,48,59,tues,mon,wed
2675,49,61,tues,mon,wed
2676,51,64,tues,mon,wed
2677,55,68,tues,mon,wed
2678,58,71,tues,mon,wed
2679,61,72,wed,mon,wed
2680,62,76,wed,mon,wed
2681,64,79,wed,mon,wed
2682,66,80,wed,mon,wed
2683,0,0,wed,wed,fri
2684,2,1,wed,wed,fri
2685,3,4,wed,wed,fri
2686,5,5,wed,wed,fri
2687,8,6,wed,wed,fri
2688,9,7,wed,wed,fri
2689,12,11,wed,wed,fri
2690,15,15,wed,wed,fri
2691,17,17,wed,wed,fri
2692,18,20,wed,wed,fri
2693,20,21,wed,wed,fri
2694,22,24,wed,wed,fri
2695,25,25,wed,wed,fri
2696,26,26,wed,wed,fri
2697,27,27,thur,wed,fri
2698,28,28,thur,wed,fri
2699,29,29,thur,wed,fri
2700,30,30,thur,wed,fri
2701,32,34,thur,wed,fri
2702,35,37,thur,wed,fri
2703,37,39,thur,wed,fri
2704,38,40,thur,wed,fri
2705,42,43,thur,wed,fri
2706,44,47,thur,wed,fri
2707,48,51,thur,wed,fri
2708,49,53,thur,wed,fri
2709,50,57,thur,wed,fri
2710,52,60,thur,wed,fri
2711,56,64,thur,wed,fri
2712,60,65,thur,wed,fri
2713,61,69,fri,wed,fri
2714,65,71,fri,wed,fri
2715,66,75,fri,wed,fri
2716,69,77,fri,wed,fri
2717,72,81,fri,wed,fri
2718,0,0,fri,fri,sun
2719,4,1,fri,fri,sun
2720,7,4,fri,fri,sun
2721,9,8,fri,fri,sun
2722,13,9,fri,fri,sun
2723,15,12,fri,fri,sun
2724,18,14,fri,fri,sun
2725,19,17,fri,fri,sun
2726,22,21,fri,fri,sun
2727,26,25,fri,fri,sun
2728,29,29,sun,fri,sun
2729,30,31,sun,fri,sun
2730,31,33,sun,fri,sun
2731,35,34,sun,fri,sun
2732,38,35,sun,fri,sun
2733,41,38,sun,fri,sun
2734,45,41,sun,fri,sun
2735,47,42,sun,fri,sun
2736,50,44,sun,fri,sun
2737,54,48,sun,fri,sun
2738,56,50,sun,fri,sun
2739,59,51,sun,fri,sun
2740,60,52,sun,fri,sun
2741,64,55,sun,fri,sun
2742,67,57,sun,fri,sun
2743,71,58,sun,fri,sun
2744,73,60,sun,fri,sun
2745,75,61,sun,fri,sun
2746,76,65,sun,fri,sun
2747,77,67,sun,fri,sun
2748,78,70,sun,fri,sun
2749,81,74,sun,fri,sun
2750,0,0,sun,sun,tues
2751,2,2,sun,sun,tues
2752,3,6,sun,sun,tues
2753,5,7,mon,sun,tues
2754,9,10,mon,sun,tues
2755,11,11,mon,sun,tues
2756,14,15,mon,sun,tues
2757,15,16,mon,sun,tues
2758,18,20,mon,sun,tues
2759,20,21,mon,sun,tues
2760,24,25,mon,sun,tues
2761,27,26,mon,sun,tues
2762,30,28,mon,sun,tues
2763,32,30,mon,sun,tues
2764,35,31,mon,sun,tues
2765,38,32,mon,sun,tues
2766,42,35,mon,sun,tues
2767,44,39,mon,sun,tues
2768,47,43,mon,sun,tues
2769,48,45,mon,sun,tues
2770,49,46,mon,sun,tues
2771,52,48,mon,sun,tues
2772,55,50,mon,sun,tues
2773,57,51,mon,sun,tues
2774,61,55,mon,sun,tues
2775,64,57,mon,sun,tues
2776,65,60,mon,sun,tues
2777,68,61,mon,sun,tues
2778,70,63,mon,sun,tues
2779,72,64,mon,sun,tues
2780,73,67,mon,sun,tues
2781,74,70,tues,sun,tues
2782,75,72,tues,sun,tues
2783,78,76,tues,sun,tues
2784,81,78,tues,sun,tues
2785,0,0,tues,tues,thur
2786,1,4,tues,tues,thur
2787,5,5,tues,tues,thur
2788,8,9,tues,tues,thur
2789,12,11,tues,tues,thur
2790,13,14,tues,tues,thur
2791,14,17,tues,tues,thur
2792,15,18,tues,tues,thur
2793,17,20,tues,tues,thur
2794,18,24,tues,tues,thur
2795,20,28,tues,tues,thur
2796,24,31,tues,tues,thur
2797,27,35,tues,tues,thur
2798,31,36,tues,tues,thur
2799,35,39,tues,tues,thur
2800,38,40,tues,tues,thur
2801,42,42,tues,tues,thur
2802,45,44,tues,tues,thur
2803,46,45,tues,tues,thur
2804,48,47,tues,tues,thur
2805,52,50,tues,tues,thur
2806,56,53,tues,tues,thur
2807,59,57,tues,tues,thur
2808,60,58,tues,tues,thur
2809,62,59,tues,tues,thur
2810,65,62,wed,tues,thur
2811,68,64,wed,tues,thur
2812,69,66,wed,tues,thur
2813,72,70,wed,tues,thur
2814,76,73,thur,tues,thur
2815,80,76,thur,tues,thur
2816,0,0,thur,thur,sun
2817,1,1,thur,thur,sun
2818,3,2,thur,thur,sun
2819,6,3,thur,thur,sun
2820,7,6,thur,thur,sun
2821,9,10,thur,thur,sun
2822,11,12,thur,thur,sun
2823,12,13,thur,thur,sun
2824,16,17,thur,thur,sun
2825,19,19,thur,thur,sun
2826,22,22,thur,thur,sun
2827,23,24,thur,thur,sun
2828,27,28,fri,thur,sun
2829,30,31,fri,thur,sun
2830,33,33,fri,thur,sun
2831,36,35,fri,thur,sun
2832,39,36,fri,thur,sun
2833,40,39,fri,thur,sun
2834,43,42,fri,thur,sun
2835,46,46,fri,thur,sun
2836,49,50,fri,thur,sun
2837,52,51,fri,thur,sun
2838,55,54,fri,thur,sun
2839,59,55,fri,thur,sun
2840,62,56,fri,thur,sun
2841,66,57,sun,thur,sun
2842,67,58,sun,thur,sun
2843,68,60,sun,thur,sun
2844,69,63,sun,thur,sun
2845,73,66,sun,thur,sun
2846,77,67,sun,thur,sun
2847,78,70,sun,thur,sun
2848,82,72,sun,thur,sun
2849,0,0,sun,sun,tues
2850,3,2,sun,sun,tues
2851,5,3,sun,sun,tues
2852,8,4,sun,sun,tues
2853,11,6,sun,sun,tues
2854,15,8,sun,sun,tues
2855,19,12,sun,sun,tues
2856,22,13,sun,sun,tues
2857,23,15,sun,sun,tues
2858,24,18,sun,sun,tues
2859,26,20,sun,sun,tues
2860,27,22,sun,sun,tues
2861,30,23,sun,sun,tues
2862,33,26,sun,sun,tues
2863,35,28,sun,sun,tues
2864,36,32,sun,sun,tues
2865,37,35,sun,sun,tues
2866,41,38,sun,sun,tues
2867,44,39,sun,sun,tues
2868,47,41,sun,sun,tues
2869,49,42,sun,sun,tues
2870,50,44,mon,sun,tues
2871,53,45,mon,sun,tues
2872,56,49,mon,sun,tues
2873,59,53,mon,sun,tues
2874,61,55,mon,sun,tues
2875,64,56,mon,sun,tues
2876,66,58,mon,sun,tues
2877,69,60,mon,sun,tues
2878,70,63,mon,sun,tues
2879,73,67,mon,sun,tues
2880,75,69,mon,sun,tues
2881,76,70,tues,sun,tues
2882,80,71,tues,sun,tues
2883,0,0,tues,tues,thur
2884,3,3,tues,tues,thur
2885,7,5,tues,tues,thur
2886,9,8,tues,tues,thur
2887,11,10,tues,tues,thur
2888,13,11,tues,tues,thur
2889,14,15,tues,tues,thur
2890,16,16,tues,tues,thur
2891,17,18,tues,tues,thur
2892,19,21,tues,tues,thur
2893,20,24,tues,tues,thur
2894,21,27,tues,tues,thur
2895,24,29,wed,tues,thur
2896,25,30,wed,tues,thur
2897,27,32,wed,tues,thur
2898,28,34,wed,tues,thur
2899,31,36,wed,tues,thur
2900,32,38,wed,tues,thur
2901,33,42,wed,tues,thur
2902,36,43,wed,tues,thur
2903,37,46,wed,tues,thur
2904,40,50,wed,tues,thur
2905,42,54,wed,tues,thur
2906,43,58,wed,tues,thur
2907,44,59,wed,tues,thur
2908,48,63,wed,tues,thur
2909,49,65,wed,tues,thur
2910,50,67,wed,tues,thur
2911,51,69,wed,tues,thur
2912,55,72,wed,tues,thur
2913,57,74,wed,tues,thur
2914,59,76,thur,tues,thur
2915,60,79,thur,tues,thur
2916,61,81,thur,tues,thur
2917,0,0,thur,thur,fri
2918,2,4,thur,thur,fri
2919,5,8,thur,thur,fri
2920,7,12,thur,thur,fri
2921,10,15,thur,thur,fri
2922,12,17,thur,thur,fri
2923,15,20,thur,thur,fri
2924,17,24,thur,thur,fri
2925,18,28,thur,thur,fri
2926,20,32,thur,thur,fri
2927,22,35,thur,thur,fri
2928,25,37,fri,thur,fri
2929,28,38,fri,thur,fri
2930,32,41,fri,thur,fri
2931,35,43,fri,thur,fri
2932,36,44,fri,thur,fri
2933,38,47,fri,thur,fri
2934,40,50,fri,thur,fri
2935,42,54,fri,thur,fri
2936,44,55,fri,thur,fri
2937,47,59,fri,thur,fri
